Template_ID,Reasoning Type Annotation,Template
na_16,"numerical understanding: {number: two}
attribute understanding: {color:blue}, value annotation",There is a line chart with {number} {color} lines and the value of each turning point is annotated beside it.
na_17,"numerical reasoning: {number: 5} steps
attribute reasoning: text in flowchart, first, second, remaining","A flowchart with {number} steps. The first step is to collect data, and the second step is to analyze the data. The remaining steps are left blank.
Restriction: number = 1+N "
na_18,"numerical understanding: {number:3}00 ml
attribute understanding: blue solution",A 1000 ml measuring cup is filled with {number}00 ml of the {color} solution.
na_19,"numerical understanding: {number:3}
attribute undersanding:  small",A circuit diagram contains a battery and {number} small light bulbs.
na_20,"numerical understanding: {number unit: 500 meters}
attribute understanding:  distance annotation",The distance between the {object-1} and the {object-2} is {number unit}. The distance is marked with a line segment and the distance number.
nsa_1,"numerical understanding: {number: two} 
spatial reasoning: {preposition: inside}
attribute understanding: {color: red}",{number} {color} {3D-obejct-1-plural} are placed {preposition} a {3D-object-2}.
nsa_2,"numerical understanding: {number: 3} 
spatial reasoning: aligned in a row
attribute understanding: {color-1: red}, {color-2: blue}","{number} {object-plural} are aligned in a row; the first one is {color-1}, and the others are {color-2}."
nsa_3,"numerical understanding: two
spatial reasoning: parallel, inside, points on the circle
attribute understanding: {color: black}","{number} parallel line segments are inside a circle, with all of their endpoints on the circle. Mark the endpoints with {color} dots."
nsa_4,"numerical understanding: two lines, three clusters
spatial reasoning: {spatial_adj: leftmost}, middle, last
attribute understanding: {color-1: red}, {color-2: blue}, {color-3: green}","Two lines divide the dots into three clusters. Mark the {spatial_adj} cluster in {color-1}, the middle cluster in {color-2}, and the last one in {color-3}."
nsa_5,"numerical understanding: {number: two}
spatial reasoning: symmetrical about the origin
attribute understanding: {color-1: red}, {color-2:green}","{number} {2D-object-plural} are placed in a coordinate system and are symmetrical about the origin. Object(s) on the one side is/are in {color-1}. Object(s) on the other side is/are in {color-2}.
Restriction: number = 2* N"
nsa_6,"numerical understanding: {number-1: five}, {number-2:three}
spatial reasoning: opposite sides
attribute understanding: {color-1: black}, {color-2: grey}",Some {object-plural} are on opposite sides of a plane. There are {number-1} {color-1} ones on the left and {number-2} {color-2} ones on the right.
nsa_7,"numerical understanding: {number-1: two}, {number-2:three}
spatial reasoning: increasing, decreasing, with intersection, without intersection
attribute understanding: {color-1: red}, {color-2: green}","A line graph with {number-1} {color-1} lines increasing gradually and intersecting once, and {number-2} {color-2} lines decreasing gradually without intersecting the other lines."
nsa_8,"numerical understanding: {number: 5} bars
spatial reasoning: leftmost
attribute understanding: {color: blue}",A bar chart with {number} bars and mark the leftmost bar in {color}.
nsa_9,"numerical understanding: {number: 4} 
spatial reasoning: not parallel, form the same angle
attribute understanding: {color-1: red} {color-2:blue}",{number} {color-1} straight lines are not parallel to each other. They pass through a {color-2} plane and form the same angle with the plane.
nsa_10,"numerical understanding: {number: four} 
spatial reasoning: symmetrical about X-aixs
attribute understanding: same color for each pair","{number} {straight} lines are located in a coordinate system and are symmetrical about the X-axis in pairs. Each pairs share the same color.
Restriction: number = 2*N"
nsa_11,"numerical understanding: 1.{number:5},0.{number:8}
attribute understanding: {color:red}, dotted
spatial reasoning: rebound","A small ball falls from a table 1.{number} meters high and bounces to a height of 0.{number} meters. The trajectory of the ball's fall and rebound is represented by a/an {color} dotted line.
"
nsa_12,"numerical understanding: {number:5}, {number:3},{number:2}
attribute understanding: transparent, {color-1:black}, {color-2:green}
spatial reasoning: left, right","The box on the left contains {number} white balls, and the box on the right contains {number} {color-1} balls and {number} {color-2} balls."
nsa_13,"numerical reasoning: 60-65 range, {number:10} {number:10}0
spatial reasoning: bell-shape
attribute reasoning: largest numer of people","The scores of a class are in a bell shape, with the largest number of people in the 60-65 range. The highest and lowest scores are {number} and {number}0 respectively. A histogram represents the scores of this class.
"
